period,msn,seriesDescription,value,unit
2022,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",94.659,Million Kilowatts
2021,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",95.546,Million Kilowatts
2020,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",96.501,Million Kilowatts
2019,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",98.119,Million Kilowatts
2018,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.433,Million Kilowatts
2017,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.629,Million Kilowatts
2016,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.565,Million Kilowatts
2015,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",98.672,Million Kilowatts
2014,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",98.569,Million Kilowatts
2013,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.24,Million Kilowatts
2012,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",101.885,Million Kilowatts
2011,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",101.419,Million Kilowatts
2010,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",101.167,Million Kilowatts
2009,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",101.004,Million Kilowatts
2008,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",100.755,Million Kilowatts
2007,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",100.266,Million Kilowatts
2006,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",100.334,Million Kilowatts
2005,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.988,Million Kilowatts
2004,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.628,Million Kilowatts
2003,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",99.209,Million Kilowatts
2002,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",98.657,Million Kilowatts
2001,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",98.159,Million Kilowatts
2000,NUGBPUS,"Nuclear Generating Units, Net Summer Capacity, End of Period in Million Kilowatts",97.86,Million Kilowatts
